Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
"Construction, Contracting, and Labour Service",JRJ CONSTRUCTION & SUPPLY INC.,,499102626-001,Issued,"Feb 02, 2024","Feb 01, 2025",,,,,,,,1,
"Vehicle Repair, Maintenance, and Modification",PUSH TO START AUTO CARE GROUP INCORPORATED,11627 - 145 STREET NW,398954823-002,Issued,"Sep 13, 2022","Oct 13, 2024",,3230,Huff Bremner Estate Industrial,Anirniq,53.568794,-113.569694,"(53.56879403832418, -113.5696935760528)",1,POINT (-113.5696935760528 53.56879403832418)
Administration Office / Professional Service,FLAWLESS INTERIORS INC.,,464012031-002,Issued,"Jan 03, 2024","Feb 14, 2025",,,,,,,,1,
"Public Market Vendor, Retail Sales (Minor), Food Processing / Catering Service",FRUITYBOO,,499206630-001,Issued,"Feb 02, 2024","Feb 01, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",CLADROC EXTERIORS INC.,,480764436-001,Issued,"Aug 11, 2024","Aug 15, 2025",,,,,,,,1,
Personal Service,SWAN SKIN CARE,,460250431-002,Issued,"Jan 18, 2024","Jan 19, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",K2 SERVICES INC.,,376736522-002,Issued,"Jan 19, 2024","Dec 08, 2024",,,,,,,,1,
Administration Office / Professional Service,LEASE ADMIN CONSULTING INC.,,453809896-002,Issued,"Nov 10, 2023","Nov 13, 2024",,,,,,,,1,
Retail Sales (Minor),RMJ JC PREMIERE DISTRIBUTION,,387041330-002,Issued,"Mar 20, 2024","Mar 02, 2025",,,,,,,,1,
Administration Office / Professional Service,"KINGDOMBUILDING LEADERSHIP, INC.",,432907880-002,Issued,"May 11, 2024","May 11, 2026",,,,,,,,1,
Restaurant or Food Service,BERNARDO DINER,"519, 2331 - 66 STREET NW",479311566-001,Issued,"Jul 28, 2024","Aug 31, 2026",,6520,Mill Woods Town Centre,Karhiio,53.455763,-113.430266,"(53.45576302841539, -113.4302656451042)",1,POINT (-113.4302656451042 53.45576302841539)
"Construction, Contracting, and Labour Service",NULOOK PAINTING LTD.,,502098095-001,Issued,"Jun 24, 2024","Jun 23, 2025",,,,,,,,1,
Personal Service,NATALIIA KARGALTSEVA,,376835203-002,Issued,"Dec 16, 2023","Dec 08, 2024",,,,,,,,1,
"Public Market Vendor, Food Truck / Food Cart",SIPS SODA SHOPPE,,437359527-001,Issued,"May 15, 2024","Jun 16, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",READ'S HEATING,,377817903-001,Issued,"Oct 16, 2023","Nov 26, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",MEASURE UP CONTRACTING LTD.,,360320336-002,Issued,"May 07, 2024","Jun 17, 2025",,,,,,,,1,
Delivery and Logistic Service,1387910 ALBERTA LTD.,,503216588-001,Issued,"Apr 10, 2024","Apr 09, 2025",,,,,,,,1,
"Personal Service, Retail Sales (Minor)",SUNSHINE CREEATIONS,,503828963-001,Issued,"Mar 21, 2024","Mar 20, 2025",,,,,,,,1,
Delivery and Logistic Service,2085341 ALBERTA LTD.,,381910984-002,Issued,"Jan 04, 2023","Jan 06, 2025",,,,,,,,1,
Administration Office / Professional Service,UB PRIME,,368272422-002,Issued,"Jun 20, 2024","Jul 30, 2026",,,,,,,,1,
Personal Service,IRMA'S HAIR,,445400403-002,Issued,"Oct 20, 2023","Oct 20, 2024",,,,,,,,1,
Personal Service,THE WAX LOUNGE,,501943452-001,Issued,"Apr 09, 2024","Apr 08, 2025",,,,,,,,1,
"Retail Sales (Minor), Wholesale, Warehouse, and Storage",ALBERTA STONE AND BUILDING SUPPLIES,8818 - 51 AVENUE NW,409929157-002,Issued,"Oct 25, 2023","Nov 02, 2024",,6430,McIntyre Industrial,Karhiio,53.488622,-113.463044,"(53.48862203035857, -113.46304362679987)",1,POINT (-113.46304362679987 53.48862203035857)
Participant Recreation Service,DAGMAR DHARMA YOGA,,393001114-002,Issued,"May 02, 2024","May 03, 2025",,,,,,,,1,
"Administration Office / Professional Service, Retail Sales (Minor)",EAGLESOAREX CORPORATION,,486046192-001,Renewal Notice,"Sep 28, 2023","Sep 27, 2024",,,,,,,,1,
Retail Sales (Minor),LEBLIFE,,492157904-001,Issued,"Dec 04, 2023","Dec 03, 2024",,,,,,,,1,
"Administration Office / Professional Service, Personal Service",WHOLENESS & HARMONY,,434416244-002,Issued,"May 19, 2024","Jun 05, 2025",,,,,,,,1,
Personal Service,RB TINTA,,422880822-002,Issued,"Mar 20, 2024","Mar 29, 2025",,,,,,,,1,
Administration Office / Professional Service,CLOUD HUT TECHNOLOGIES,,472225558-001,Issued,"May 03, 2024","May 22, 2025",,,,,,,,1,
Administration Office / Professional Service,HEARTLAND GLOBAL SOLUTIONS LTD.,,463874920-002,Issued,"Jan 03, 2024","Feb 15, 2026",,,,,,,,1,
Personal Service,SK SALON,,503885503-001,Issued,"Apr 03, 2024","Apr 02, 2026",,,,,,,,1,
"Vehicle Repair, Maintenance, and Modification",B N V DIESEL SERVICES INC.,11433 - 154 STREET NW,405441479-002,Issued,"Aug 15, 2024","Sep 15, 2025",,4170,Garside Industrial,Anirniq,53.564294,-113.585637,"(53.56429404048685, -113.58563707399757)",1,POINT (-113.58563707399757 53.56429404048685)
Administration Office / Professional Service,GUUDI MEDIA,,471052288-002,Issued,"Mar 22, 2024","May 03, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",PROQUAL CONSTRUCTION & INNOVATIONS LTD.,Non Resident Business,500174714-001,Issued,"Feb 12, 2024","Feb 11, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",KBM PRECISION RENOVATIONS LTD.,,470756503-002,Issued,"Jul 11, 2024","Aug 07, 2025",,,,,,,,1,
"Public Market Vendor, Retail Sales (Minor), Food Processing / Catering Service",BAKENARY,,472465596-001,Issued,"May 09, 2024","May 29, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",NUCOR ENVIRONMENTAL SOLUTIONS LTD.,,410414891-001,Renewal Notice,"Aug 23, 2023","Oct 04, 2024",,,,,,,,1,
Manufacturer,GNOME BODIES BUSINESS,,375567162-002,Issued,"Nov 13, 2023","Nov 16, 2024",,,,,,,,1,
Retail Sales (Minor),GET FANCI INC.,,432250489-002,Issued,"Jan 25, 2024","Nov 09, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",10X CLEANING,,478165380-001,Issued,"Aug 20, 2024","Aug 20, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",MARCUS TRADING CO.,,431973266-002,Issued,"May 01, 2024","May 16, 2025",,,,,,,,1,
Residential Rental Accommodation (Long-Term),DEMELO CONTRACTING INC.,11732 - 124 STREET NW,396884713-002,Issued,"Jul 11, 2024","Jul 10, 2025",The Crossroads,3240,Inglewood,Anirniq,53.569433,-113.536448,"(53.56943303432732, -113.53644758328268)",1,POINT (-113.53644758328268 53.56943303432732)
"Construction, Contracting, and Labour Service",ROYAL WOODS ENGINEERING INC.,,372805406-002,Issued,"Jan 02, 2024","Dec 01, 2024",,,,,,,,1,
Vehicle Sales and Rental,HIGHLINE AUTOMOTIVE LTD.,,482234646-001,Issued,"Nov 20, 2023","Nov 19, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",GARNET & QUILL SOLUTIONS INC.,,413693727-002,Issued,"Dec 11, 2023","Dec 01, 2024",,,,,,,,1,
Food Processing / Catering Service,THE PURPLE PAN BAKERY,,417074146-002,Issued,"May 28, 2024","Jul 09, 2025",,,,,,,,1,
Delivery and Logistic Service,KIARA TRANSPORT,,381359263-002,Issued,"Jan 18, 2024","Feb 24, 2026",,,,,,,,1,
Food Processing / Catering Service,GIBBO'S PEPPER SAUCE,,383866004-002,Issued,"Feb 16, 2024","Feb 09, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",3S HOMES INC.,,427274931-002,Issued,"Jul 31, 2024","Jun 09, 2026",,,,,,,,1,
Food Processing / Catering Service,UNDER THE LINDEN BAKEHOUSE,,370136773-002,Issued,"Aug 22, 2024","Sep 02, 2025",,,,,,,,1,
"Retail Sales (Minor), Manufacturer",LYONS DEN,,493838714-001,Issued,"Dec 18, 2023","Dec 17, 2024",,,,,,,,1,
Food Processing / Catering Service,ALL-OCCASIONS CATERING,,488858855-001,Issued,"Nov 06, 2023","Nov 05, 2024",,,,,,,,1,
Delivery and Logistic Service,XPERT DELIVERIES INC.,,485395058-001,Issued,"Oct 31, 2023","Oct 30, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",ALBERTA CORE PAINTING LTD.,,454465568-002,Issued,"Nov 16, 2023","Nov 21, 2024",,,,,,,,1,
Administration Office / Professional Service,MISS K MANAGEMENT INC.,11041 - 105 AVENUE NW,475240701-001,Issued,"May 31, 2024","Jun 29, 2025",Downtown,1090,Downtown,O-day'min,53.547176,-113.507999,"(53.547176032248366, -113.50799859712939)",1,POINT (-113.50799859712939 53.547176032248366)
Administration Office / Professional Service,VICTORIAN PROPERTY MANAGEMENT,4255 - 53 AVENUE NW,400317518-002,Issued,"Nov 22, 2023","Jan 03, 2024",,6590,Pylypow Industrial,Sspomitapi,53.489702,-113.407856,"(53.489702023742225, -113.40785563881735)",1,POINT (-113.40785563881735 53.489702023742225)
Participant Recreation Service,WEEL WELLNESS PERSONAL TRAINING,,388689999-002,Issued,"Mar 24, 2024","May 05, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",HIGH HOMES LTD.,,499371535-001,Issued,"Feb 05, 2024","Feb 04, 2026",,,,,,,,1,
Financial Service,MAGGO & ASSOCIATES,"202, 5119 - 22 AVENUE SW",453776044-002,Issued,"Oct 03, 2023","Nov 16, 2024",,6662,Walker,Karhiio,53.413301,-113.419866,"(53.4133010297076, -113.41986616155336)",1,POINT (-113.41986616155336 53.4133010297076)
Health Enhancement Centre (Accredited),APEX CHIROPRACTIC AND NATURAL HEALTH CENTRE,"203, 16761 - 91 STREET NW",413991908-004,Issued,"Oct 23, 2023","Dec 04, 2025",,2440,Klarvatten,tastawiyiniwak,53.629265,-113.480742,"(53.62926502418467, -113.48074207563339)",1,POINT (-113.48074207563339 53.62926502418467)
"Construction, Contracting, and Labour Service",ON LEVEL FRAMING LTD.,,368393789-002,Issued,"Apr 02, 2024","Apr 03, 2025",,,,,,,,1,
Administration Office / Professional Service,KOENIG INVESTMENT GROUP INTERNATIONAL INC.,,467224070-002,Issued,"Jun 12, 2024","Jun 27, 2025",,,,,,,,1,
Manufacturer,ACE BLINDS,9846 - 45 AVENUE NW,350790913-002,Issued,"Apr 03, 2024","Apr 14, 2026",,6560,Papaschase Industrial,Karhiio,53.483573,-113.485197,"(53.483573033288366, -113.48519712352179)",1,POINT (-113.48519712352179 53.483573033288366)
"Construction, Contracting, and Labour Service",CGF CONSTRUCTION LTD.,,403926781-002,Issued,"Nov 10, 2023","Oct 12, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",CANADA CLEAN HOME,,380745951-002,Issued,"Dec 14, 2023","Dec 22, 2024",,,,,,,,1,
Retail Sales (Major),OMNIA ABDELAZIZ PHARMACY LTD.,10405 - JASPER AVENUE NW,503500383-001,Issued,"May 15, 2024","May 14, 2025",Downtown,1090,Downtown,O-day'min,53.540588,-113.500655,"(53.540588031762326, -113.50065460098439)",1,POINT (-113.50065460098439 53.540588031762326)
"Vehicle Repair, Maintenance, and Modification",2247965 ALBERTA INC.,,359565853-002,Issued,"Nov 18, 2022","Dec 10, 2024",,,,,,,,1,
Administration Office / Professional Service,RECON CONSULTING & GEOMATICS SOLUTIONS LTD.,,493445026-001,Issued,"Dec 08, 2023","Dec 07, 2025",,,,,,,,1,
Administration Office / Professional Service,SNOWDROP IMMIGRATION SERVICES LTD.,"201, 7309 - 50 STREET NW",407704146-002,Issued,"Jun 06, 2024","Jun 07, 2026",,6780,Weir Industrial,Métis,53.509268,-113.417333,"(53.50926802370799, -113.41733263015593)",1,POINT (-113.41733263015593 53.50926802370799)
Administration Office / Professional Service,CYBERIAN ANVIL INC.,"101, 11816 - 121 STREET NW",467762023-002,Issued,"Jul 23, 2024","Jun 14, 2025",Kingsway,1111,Blatchford Area,O-day'min,53.570945,-113.530445,"(53.570945033523834, -113.53044458411945)",1,POINT (-113.53044458411945 53.570945033523834)
Personal Service,THE SKIN AND LASER LOFT,,475754573-001,Issued,"Jun 22, 2023","Jun 21, 2025",,,,,,,,1,
"Food Processing / Catering Service, Food Truck / Food Cart",DRIFT EATERY LTD.,4823 - 99 STREET NW,407398216-002,Issued,"Apr 18, 2023","May 29, 2025",,6560,Papaschase Industrial,Karhiio,53.486507,-113.485490,"(53.486507033149636, -113.48548962247665)",1,POINT (-113.48548962247665 53.486507033149636)
Administration Office / Professional Service,NEST AND REST,,502476608-001,Issued,"Mar 13, 2024","Mar 12, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",GREEN VICTORY LTD.,,392525653-002,Issued,"Apr 14, 2024","Apr 27, 2026",,,,,,,,1,
Delivery and Logistic Service,THE TRANSPORT GUYS LTD.,1810 - 66 AVENUE NW,486716387-001,Issued,"Nov 07, 2023","Nov 06, 2025",,6690,Southeast Industrial,Sspomitapi,53.503895,-113.372706,"(53.50389501872826, -113.37270614197277)",1,POINT (-113.37270614197277 53.50389501872826)
Public Market Vendor,CHARARA FRAGRANCES,12011 - 111 AVENUE NW,372795280-002,Issued,"Dec 06, 2022","Dec 14, 2024",Kingsway,1180,Queen Mary Park,O-day'min,53.558066,-113.529864,"(53.55806603421058, -113.5298640885757)",1,POINT (-113.5298640885757 53.55806603421058)
Health Enhancement Centre (Accredited / Independent),BODY SOUL CONNECTIONS THERAPY,,433096632-003,Issued,"Jul 17, 2024","Jul 28, 2025",,,,,,,,1,
Delivery and Logistic Service,ARP TRUCKING,,406431551-002,Renewal Notice,"Sep 27, 2022","Sep 06, 2024",,,,,,,,1,
Vehicle Sales and Rental,780HOLDINGS LTD.,,326094306-002,Issued,"Jun 25, 2024","Aug 03, 2025",,,,,,,,1,
Administration Office / Professional Service,COLOUR SENSE CONSULTING,,418891527-002,Issued,"Dec 06, 2023","Dec 29, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",CYNIQUE CONTRACTING LTD.,,388168952-002,Issued,"Mar 12, 2024","Mar 15, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",Z & H JANITORIAL SERVICES,,417665653-002,Issued,"Nov 10, 2023","Dec 14, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",MARCOTT MECHANICAL CONSTRUCTION INC.,,346466287-001,Issued,"Nov 01, 2023","Nov 11, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",1778732 ALBERTA LTD.,,429973773-002,Issued,"May 17, 2024","May 01, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",OG EXPRESS TAPING LTD.,,445380851-002,Issued,"Oct 25, 2023","Sep 05, 2025",,,,,,,,1,
Retail Sales (Minor),ASUNSHINESMILE,,417136676-002,Issued,"Dec 13, 2022","Jan 18, 2025",,,,,,,,1,
General Business,SOUTHPAW GROOMING AND WELLNESS,,482155948-001,Issued,"Jan 11, 2024","Jan 10, 2025",,,,,,,,1,
Administration Office / Professional Service,TERAGO NETWORKS INC.,"11, 15307 - 114 AVENUE NW",381209091-002,Issued,"Feb 06, 2024","Mar 01, 2025",,4210,High Park Industrial,Anirniq,53.562917,-113.585025,"(53.56291704049456, -113.58502507459727)",1,POINT (-113.58502507459727 53.56291704049456)
Retail Sales (Minor),MLC24SERVICES,,495229272-001,Issued,"Dec 28, 2023","Dec 27, 2024",,,,,,,,1,
"Retail Sales (Minor), Manufacturer",LACE UP,,461979725-002,Issued,"Mar 14, 2024","Apr 25, 2025",,,,,,,,1,
Retail Sales (Minor),EMILY HOVEN CERAMICS,,373892850-002,Issued,"Oct 25, 2023","Oct 12, 2024",,,,,,,,1,
Personal Service,LUMINATE DERM SPA,,416953114-002,Issued,"Nov 26, 2023","Dec 06, 2024",,,,,,,,1,
Retail Sales (Minor),MR. INFLATABLE LTD.,,440675472-002,Issued,"Jul 18, 2024","Jul 20, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",THAT RENO GUY,,431418893-002,Issued,"Mar 27, 2024","May 08, 2025",,,,,,,,1,
Personal Service,OLGA SHEVCHUK,,364700052-002,Issued,"Jun 18, 2024","Jun 22, 2025",,,,,,,,1,
Personal Service,PRETTY NAILS UA,,365177822-004,Issued,"Nov 02, 2023","Dec 08, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",2428961 ALBERTA LTD.,,498673701-001,Issued,"Feb 12, 2024","Feb 11, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",SUPERIOR EDGE FINISHINGS LTD.,Non Resident Business,488486646-001,Issued,"Oct 25, 2023","Oct 24, 2024",,,,,,,,1,
Spectator Entertainment,EDMONTON NEW SHADOW THEATRE SOCIETY,10329 - 83 AVENUE NW,462083163-002,Issued,"Feb 02, 2024","Mar 07, 2025",Old Strathcona,5480,Strathcona,papastew,53.518799,-113.496353,"(53.51879903253431, -113.49635260924725)",1,POINT (-113.49635260924725 53.51879903253431)
"Construction, Contracting, and Labour Service",ARS ENTROPICUS,,327445851-002,Issued,"Aug 14, 2024","Aug 21, 2025",,,,,,,,1,
Health Enhancement Centre (Accredited / Independent),THERAPEUTIC ESCAPE MASSAGE AND WELLNESS,"102, 2951 - ELLWOOD DRIVE SW",501706252-001,Issued,"Mar 07, 2024","Mar 06, 2025",,6214,Ellerslie Industrial,Karhiio,53.428502,-113.479167,"(53.428502035834626, -113.4791671432213)",1,POINT (-113.4791671432213 53.428502035834626)
"Construction, Contracting, and Labour Service",KELLER FOUNDATIONS,Non Resident Business,500870223-001,Issued,"May 31, 2024","May 30, 2025",,,,,,,,1,
Food Truck / Food Cart,ANTONI'S GREEK BAKERY AND CAFE INC.,,436119054-002,Issued,"Oct 09, 2023","Nov 22, 2024",,,,,,,,1,
Personal Service,MICHELLE’S BEAUTY BAR,,388381661-002,Issued,"May 16, 2024","May 18, 2025",,,,,,,,1,
Administration Office / Professional Service,GORDON & DIANE BUCHANAN FAMILY FOUNDATION,,456968341-003,Issued,"Dec 21, 2023","Jan 23, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",HOISTING LTD.,,410126358-001,Renewal Notice,"Aug 23, 2022","Oct 03, 2024",,,,,,,,1,
Residential Rental Accommodation (Long-Term),PARKVIEW APARTMENTS,7603 - 112 STREET NW,340828869-003,Issued,"Oct 11, 2023","Sep 30, 2025",,5290,McKernan,papastew,53.512535,-113.519645,"(53.51253503567272, -113.5196446061267)",1,POINT (-113.5196446061267 53.51253503567272)
Delivery and Logistic Service,PHOENIX TRANSPORT,,362948831-002,Issued,"May 12, 2024","May 25, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",TOWNES CONSTRUCTION LTD.,,408726098-002,Issued,"Nov 09, 2022","Dec 15, 2024",,,,,,,,1,
Administration Office / Professional Service,RPCL IMMIGRATION SERVICES,,449946331-002,Issued,"Oct 03, 2023","Oct 12, 2024",,,,,,,,1,
Administration Office / Professional Service,KL EXECUTIVE SOLUTIONS,,388506151-002,Issued,"Apr 05, 2024","Mar 22, 2026",,,,,,,,1,
Administration Office / Professional Service,OFFBEAT ENTERTAINMENT,,414950706-002,Issued,"Oct 13, 2022","Nov 23, 2024",,,,,,,,1,
Personal Service,HARMONY BEAUTY NAILS & LASHES,10107 - 82 AVENUE NW,503655344-001,Issued,"Apr 23, 2024","Apr 22, 2025",Old Strathcona,6610,Ritchie,papastew,53.517746,-113.491745,"(53.517746032048585, -113.49174461063218)",1,POINT (-113.49174461063218 53.517746032048585)
"Construction, Contracting, and Labour Service",RANGIN JANITORIAL SERVICES,,459689835-002,Issued,"Jan 31, 2024","Jan 17, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",AVON BUILDING MAINTENANCE LTD.,,401721238-002,Issued,"Jun 21, 2024","Jul 12, 2025",,,,,,,,1,
General Business,WENDY'S ERRANDS FOR ELDERS,,466885005-002,Issued,"Mar 24, 2024","Apr 05, 2025",,,,,,,,1,
Retail Sales (Minor),KASYA,,411399509-002,Issued,"Nov 07, 2023","Nov 09, 2024",,,,,,,,1,
Retail Sales (Minor),COSISTE INC.,,501289334-001,Issued,"Feb 29, 2024","Feb 27, 2025",,,,,,,,1,
General Business,RUFF RECESS PET SITTING,,499727740-001,Issued,"Feb 07, 2024","Feb 06, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",ZEPHYR DWELLINGS LTD,,349625353-002,Issued,"Jun 18, 2024","Apr 20, 2026",,,,,,,,1,
Manufacturer,SCRIPTURES AND CRAFTS BY TINTIN,,410576734-002,Issued,"Oct 10, 2023","Oct 12, 2024",,,,,,,,1,
Retail Sales (Minor),DIOR & LUKE SKINCARE,,400910993-002,Issued,"Jul 11, 2024","Jul 19, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",PERFECTION CONSTRUCTION INC.,,464588787-002,Issued,"Apr 12, 2024","Apr 12, 2025",,,,,,,,1,
Personal Service,SANDHU CUTS LTD.,,479109839-001,Issued,"Aug 27, 2024","Sep 25, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FARRELL CONCRETE,,354414807-002,Renewal Notice,"Sep 28, 2023","Sep 15, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",WILDWOOD WOOD WORKS LTD.,"208, 1524 - 91 STREET SW",499232888-001,Issued,"Feb 02, 2024","Feb 01, 2025",,6214,Ellerslie Industrial,Karhiio,53.419016,-113.479473,"(53.419016036434066, -113.47947314630626)",1,POINT (-113.47947314630626 53.419016036434066)
Personal Service,Z'INSPIRE BEAUTY,,403460172-002,Issued,"Aug 12, 2024","Sep 07, 2025",,,,,,,,1,
Manufacturer,PETROSPEC ENGINEERING INC.,7123 - 56 AVENUE NW,393648219-002,Issued,"Apr 15, 2024","May 24, 2025",,6640,Roper Industrial,Karhiio,53.491187,-113.437088,"(53.49118702712452, -113.43708763176306)",1,POINT (-113.43708763176306 53.49118702712452)
"Construction, Contracting, and Labour Service",SKY EXTERIORS & RENOVATIONS,,384553759-002,Issued,"Jan 04, 2024","Jan 28, 2025",,,,,,,,1,
Health Enhancement Centre (Accredited / Independent),MOLLY BROOK REMEDIAL MASSAGE THERAPY,,332839402-003,Issued,"Dec 28, 2023","Jan 19, 2026",,,,,,,,1,
Residential Rental Accommodation (Long-Term),BRAVES FOUNTAIN INC,17020 - 62 STREET NW,484031202-001,Issued,"Nov 01, 2023","Oct 31, 2024",,2522,McConachie,Dene,53.632793,-113.433501,"(53.63279301834958, -113.43350108505774)",1,POINT (-113.43350108505774 53.63279301834958)
Personal Service,HAIR BY B TKACH,,379410692-002,Issued,"Feb 08, 2023","Feb 22, 2025",,,,,,,,1,
Administration Office / Professional Service,RED FROG INTERIOR DESIGN INC.,,486832617-001,Issued,"Oct 25, 2023","Oct 24, 2024",,,,,,,,1,
Retail Sales (Minor),DIVA BEAUTY SUPPLY,10720 - 101 STREET NW,357914392-002,Issued,"Dec 05, 2022","Jan 05, 2025",Chinatown and Area,1030,Central McDougall,O-day'min,53.552000,-113.494247,"(53.55200003032847, -113.49424659859353)",1,POINT (-113.49424659859353 53.55200003032847)
Delivery and Logistic Service,HPC TOWING & RECOVERY LTD.,,364647521-002,Issued,"Jul 30, 2024","Aug 17, 2026",,,,,,,,1,
Vehicle Sales and Rental,2181869 ALBERTA LTD.,,504004320-001,Issued,"Jun 28, 2024","Jun 27, 2025",,,,,,,,1,
